강의분류,강의명,조회수,조회수_숫자
건설업,[구독제] Creative TV,조회수 : 1881,1881
제조업,[구독제] ReaDT,조회수 : 280,280
의료,[구독제] LIFE+,조회수 : 211,211
건설업,리더의 말습관,조회수 : 10450,10450
건설업,MBTI 직장 사용 설명서,조회수 : 6124,6124
건설업,지속가능한 미래를 위한 ESG Report,조회수 : 6101,6101
제조업,대체불가 I가 되는 법,조회수 : 2969,2969
건설업,[GPT 업무자동화] 저는 ChatGPT가 있어 먼저 퇴근합니다,조회수 : 16438,16438
마케팅,THICK data,조회수 : 1802,1802
예술,나에게 돈을 벌어주는 마케팅 글쓰기 노하우,조회수 : 3339,3339
예술,데이터분석 및 관리를 위한 엑셀스킬실무,조회수 : 13321,13321
건설업,요즘 일잘러의 도구들,조회수 : 9654,9654
정보통신,귀농귀촌을 위한 꿀팁,조회수 : 271,271
과학 기술 서비스업,창업을 준비한다면 이것부터 알아두자,조회수 : 4150,4150
공급업,OTT 분야 직무: 1. 콘텐츠 제작/투자 - 콘텐츠 뒤의 사람들 OTT 이야기,조회수 : 1124,1124
제조업,구성과 편집 - 다큐멘터리 글쓰기,조회수 : 2226,2226
건설업,나만의 이모티콘 만들기 - 이모티콘 기획하기,조회수 : 10887,10887
건설업,공감에도 연습이 필요해,조회수 : 5244,5244
건설업,언어 감수성 향상 프로젝트,조회수 : 5347,5347
정보통신,제 2의 인생준비를 위한 자기관리 핵심정리,조회수 : 3746,3746
마케팅,[HD]모든 것을 답해주는 ChatGPT(챗GPT) 배우기,조회수 : 8514,8514
건설업,[How2업스킬] 스마트 실무자를 위한 데이터로 기획과 보고하기,조회수 : 1770,1770
건설업,매출 2배 높이는 인스타그램 마케팅,조회수 : 1609,1609
건설업,[오단기 2010~2019] 야근없는 직장생활을 위한 공대녀의 실전 엑셀-함수와 데이터 분석,조회수 : 2395,2395
예술,가상현실과 디지털 트윈,조회수 : 527,527
마케팅,일타강사 Job승제의 취업강의,조회수 : 283,283
제조업,다시 출근합니다 제2의 인생 - 꿈꾸는 내일(창업편),조회수 : 3681,3681
제조업,OTT 분야 직무: 3. 서비스 기획 및 운영 디자인(1) - 콘텐츠 뒤의 사람들 OTT 이야기,조회수 : 575,575
운수 및 창고업,<박나래의 복붙쇼> 사례 연구 - 숏폼 콘텐츠 기획 및 성공 사례 분석,조회수 : 2353,2353
의료,나만의 이모티콘 만들기 - 이모티콘 캐릭터 만들기,조회수 : 4095,4095
과학 기술 서비스업,리더십 크래프트,조회수 : 1735,1735
정보통신,끌리는 말투에는 비밀이 있다,조회수 : 7478,7478
제조업,김익한의 쓸모 있는 일상 공부법,조회수 : 3220,3220
마케팅,생성AI Moment,조회수 : 3598,3598
의료,[How2업스킬] 업무 성과를 바꾸는 빅데이터 분석과 활용,조회수 : 1184,1184
예술,핵심만 콕! 마케팅 기획의 핵심과 실행전략,조회수 : 663,663
건설업,[오단기 2010~2019] 야근없는 직장생활을 위한 공대녀의 실전 엑셀-실무 꿀팁,조회수 : 2116,2116
