회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
(주)에임즈인터내셔널코리아,[본사] 골프장 마케팅,대전,대졸↑,경력 10년↑,"마케팅, 홍보·PR·전시·컨벤션, 영업기획",채용시,정규직,중소기업,440
휴머레인컨설팅,긴급) (팀장급) 뷰티 브랜드 마케팅 커뮤니케이션 총괄 - 최우대,대전,대졸↑,경력 13년↑,"마케팅, 광고·광고기획(AE), 홍보·PR·전시·컨벤션",09.02,인턴,중소기업,298
휴머레인컨설팅,긴급) 서구권 e커머스 채널 담당 - 업계 최고 대기업 - 최우대,대전,대졸,경력 10년↑,"마케팅, 광고·광고기획(AE), 웹기획·웹마케팅·PM",09.04,인턴,중견기업,292
(주)실로팽팽,[신사역1분] 팽팽클리닉 병원마케팅 기획자/마케터 채용,대전,초대졸↑,경력 1~20년,"마케팅, 광고·광고기획(AE), 홍보·PR·전시·컨벤션",채용시,정규직,중소기업,405
(주)에임즈인터내셔널코리아,[골프장] 운영 총괄 대표(총지배인),대전,대졸↑,경력 20년↑,"경영·기획·전략, 인사·채용·인재개발(HRM·HRD), 마케팅",채용시,정규직,중소기업,466
(주)세스코,외부제안 전문가 (팀장),대전,대졸↑,경력 10년↑,"마케팅, 광고·CG·시각디자인, 유통·상품기획·MD",채용시,정규직,중소기업,437
한국서치 주식회사,식품마케팅 전문가 초빙(부장-임원),대전,대졸↑,경력 16년↑,"마케팅, 조사·분석·통계",08.15,정규직,중소기업,383
(주)에이치알그룹,글로벌R&D팀 팀장 (수출팀장) - 해외 사업 총괄,대전,대졸,경력 7~20년,"경영·기획·전략, 해외영업, 마케팅",채용시,정규직,중견기업,475
(주)수마켓팅커뮤니케이션,디지털마케팅/플랫폼/SNS/사이트/블로그 운영,대전,초대졸↑,신입/경력(3~19년),"마케팅, 웹기획·웹마케팅·PM, 홍보·PR·전시·컨벤션",08.17,인턴,중소기업,266
(주)메디트리파운더스,[2025년] 영업팀 경력직 채용[병원 영업/마케팅],경기,초대졸,경력 3~20년,"영업기획, 일반·법인영업, 마케팅",,인턴,중견기업,273
주식회사 메디픽,[2025년] 영업팀 경력직 채용[병원 영업/마케팅],경기,초대졸,경력 3~20년,"영업기획, 일반·법인영업, 마케팅",채용시,훈련생,중소기업,211
(주)맨파워써치앤컨설팅,[와국계] 마케팅 매니저,대전,대졸↑,경력 10년↑,마케팅,09.07,훈련생,중견기업,248
(주)에이치알그룹,"디지털마케팅 팀장 - 디지털 차별화 전략, 실행계획, 자사 온드 미디어 운영, 배너 및 검색 광고 운영",대전,대졸↑,경력 10년↑,마케팅,오늘마감,정규직,중견기업,464
(주)아모레퍼시픽,[경력] 25년 AMOREPACIFIC 경력채용 브랜드 마케팅 커뮤니케이션 총괄(팀장급),대전,대졸↑,경력 10년↑,"마케팅, 광고·CG·시각디자인",08.11,정규직,중견기업,438
(주)에이치알그룹,"브랜드전략마케팅 팀장 - 입체적인 시장환경 분석, 고객 세분화, 목표고객 설정 및 차별화 포지셔닝 전략수",대전,대졸↑,경력 10년↑,마케팅,오늘마감,정규직,중소기업,357
(주)커리어앤스카우트,외국계 의료기기사의 브랜드마케팅 팀장 채용,대전,대졸↑,경력 10~20년,마케팅,08.10,정규직,중견기업,399
헤니앤머코이,Head of Marketing (Communication Director) - 유명 외국계 회사,대전,대졸,경력 20년↑,"마케팅, 홍보·PR·전시·컨벤션",채용시,인턴,대기업,292
(주)크래프톤,[Corporate Brand Div] Head of Corporate Relations (15년 이상),대전,무관,경력 15년↑,"마케팅, 광고·CG·시각디자인, 일반사무·사무지원",채용시,인턴,중소기업,267
에이치알포유 주식회사,브랜드홍보 콘텐츠 기획,경기,대졸↑,경력 8~16년,"마케팅, 홍보·PR·전시·컨벤션",09.07,정규직,중소기업,364
(주)에이치알그룹,"브랜드마케팅팀장 - 제품별 마케팅 및 브랜드 전략 총괄, ATL/BTL 및 글로벌 마케팅 지원 업무 총괄",대전,대졸,경력 15년↑,마케팅,,정규직,중소기업,362
에이치알코어스,TOP 화장품 회사 e커머스 영업관리,대전,대졸↑,경력 10년↑,"마케팅, 영업관리·영업지원, 영업기획",09.06,정규직,중소기업,409
주식회사 메가인포에셋,영업 제안서 및 기획서 담당자 채용 (업계 최고 대우),대전,무관,경력 2~20년,"영업기획, 경영·기획·전략, 홍보·PR·전시·컨벤션",09.01,정규직,중소기업,327
(주)아모레퍼시픽,[경력] 25년 AMOREPACIFIC 웨스턴 e커머스 채널 담당,대전,대졸↑,경력 10년↑,"마케팅, 광고영업, 유통·상품기획·MD",08.20,정규직,중소기업,449
(주)스카우트파트너스,[건강기능식품 전문기업] 중국사업 마케팅,대전,대졸,경력 5~16년,마케팅,09.06,정규직,중견기업,496
드림에이치알,제약브랜드 액티베이션 AM-글로벌마케팅에이전시,대전,대졸↑,경력 10년↑,마케팅,09.06,정규직,중소기업,447
(주)에이치알그룹,"브랜드 전략마케팅팀원 (마케팅/브랜드전략) - 입체적인 시장환경 분석 기반, STP & 마케팅 전략 수립",대전,대졸↑,경력 10년↑,마케팅,오늘마감,정규직,중소기업,444
(주)디자인그룹나인,[정규직/문래역or전국] 플랫폼 PM 모집,대전,초대졸,경력 10년↑,"웹기획·웹마케팅·PM, 컨텐츠·사이트운영, 마케팅",09.05,훈련생,중소기업,211
(주)엔터웨이파트너스,[글로벌 명품 리테일 기업] Communications Director,대전,대졸,경력 15년↑,홍보·PR·전시·컨벤션,09.05,정규직,중소기업,455
HR컨설팅(주),식품대기업 계열사 베이커리 제품 이커머스 채널유통영업팀장급,대전,초대졸↑,경력 10년↑,"마케팅, 영업관리·영업지원, 유통·상품기획·MD",09.05,정규직,중견기업,471
(주) 에이스파트너스서치펌,"[대기업광고대행사] 글로벌 플랫폼(Web/App) PM(팀장, 8~16년)",대전,대졸,경력 8~16년,광고·광고기획(AE),,정규직,대기업,499
커리어서포트,[중견코스닥] Technical Marketing 부장급,경기,대졸↑,경력 15년↑,마케팅,09.05,훈련생,중소기업,214
주식회사 코어포인트,"웨스턴 e커머스 채널 담당 (유관경력 10년 이상), 리딩 뷰티 기업 (서울 용산)",대전,대졸↑,경력 10년↑,마케팅,08.20,정규직,중소기업,328
TBWA KOREA,MAL(글로벌 광고주 Apple 담당) Media Planner Director(팀장급) 채용,대전,대졸,경력 14년↑,"마케팅, 광고·광고기획(AE)",채용시,정규직,중견기업,418
에이치알코어스,TOP 화장품 회사 웨스턴 e커머스 채널,대전,대졸↑,경력 10년↑,"마케팅, 해외영업",09.04,정규직,중소기업,342
(주)헤리티지서치코어,마케팅팀장/그룹사계열 유명 외식 중견,대전,대졸↑,경력 10년↑,"마케팅, 조사·분석·통계",08.15,정규직,중견기업,463
피플워크(주),Sr. Event manager - 유명외국계 명품회사,대전,대졸↑,경력 10년↑,"마케팅, 광고·광고기획(AE), 홍보·PR·전시·컨벤션",09.04,정규직,중견기업,340
피플워크(주),Retail Manager - 외국계명품회사,대전,대졸,경력 10년↑,"영업관리·영업지원, 마케팅, 영업기획",09.04,훈련생,중견기업,221
피플워크(주),Marketing Communication Director / 외국계럭셔리사,대전,대졸↑,경력 15년↑,"마케팅, 조사·분석·통계, 홍보·PR·전시·컨벤션",09.04,정규직,중소기업,381
피플워크(주),CS 센터장 Client Service Sr. Manager - 외국계럭셔리사,대전,대졸↑,경력 10년↑,"마케팅, 조사·분석·통계, 고객상담·관리·수퍼바이저",09.04,정규직,중소기업,432
베스트네트워크(주),23. [글로벌 엔터테인먼트 기업 임원급] Consumer Product 소비재사업 총괄,대전,대졸,경력 15년↑,"경영·기획·전략, 마케팅, 영업관리·영업지원",,정규직,중소기업,358
