회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
씨제이올리브영(주),[CJ올리브영] 물류 유닛리더 (사업부장),대전,무관,경력 15년↑,"운송·물류, 구매·자재, 경영·기획·전략",채용시,정규직,중소기업,338
헤니앤머코이,Head of Training & Quality of Service,대전,대졸,경력 18년↑,"유통·상품기획·MD, 영업관리·영업지원, 고객상담·관리·수퍼바이저",채용시,정규직,중소기업,313
아디다스코리아(유),"Senior Manager, Retail Buying Performance (Running&Outdoor)",대전,대졸↑,경력 10년↑,"유통·상품기획·MD, 구매·자재",채용시,정규직,중소기업,335
(주)아모레퍼시픽,[경력] 25년 AMOREPACIFIC 웨스턴 e커머스 채널 담당,대전,대졸↑,경력 10년↑,"마케팅, 광고영업, 유통·상품기획·MD",08.20,인턴,대기업,273
(주)세스코,외부제안 전문가 (팀장),대전,대졸↑,경력 10년↑,"마케팅, 광고·CG·시각디자인, 유통·상품기획·MD",채용시,정규직,중소기업,330
(주)스카우트파트너스,유통.이커머스생활가전소싱MD(영업.3년이상.오픈마켓.종합몰) 대기업,대전,대졸↑,경력 2~16년,"구매·자재, 유통·상품기획·MD, 웹기획·웹마케팅·PM",09.06,정규직,중소기업,304
신성통상(주),신성통상(주) TOPTEN 여성디자인부문 아우터/하의 팀장 채용,대전,대졸↑,경력 10년↑,"패션·잡화디자인, 제품·산업디자인, 유통·상품기획·MD",08.10,정규직,중견기업,343
HR컨설팅(주),식품대기업 계열사 베이커리 제품 이커머스 채널유통영업팀장급,대전,초대졸↑,경력 10년↑,"마케팅, 영업관리·영업지원, 유통·상품기획·MD",09.05,인턴,대기업,283
피플워크(주),Merchandising Manager - 유명외국계 명품회사,대전,대졸↑,경력 12년↑,"마케팅, 구매·자재, 유통·상품기획·MD",09.04,정규직,중소기업,314
오케이 로지스틱스,5톤이상 윙바디 경력직 임대기사 상시모집(쿠팡CJ한진),대전,무관,신입/경력(1~20년),"운송·물류, 운전·운항, 택배·배송·운반",,정규직,대기업,397
(주)피플케어코리아,국내중견그룹 고위임원 수행기사,대전,무관,경력 10~20년,운전·운항,채용시,인턴,중소기업,348
(주)피플케어코리아,화장품 상품기획 리더급 (과장-차장급) - 글로벌 외국계,대전,대졸↑,경력 5~17년,"마케팅, 유통·상품기획·MD",채용시,정규직,중소기업,319
(주)에이치알컨설팅그룹,패션.의류.섬유 관련 업종 헤드헌터(HR컨설턴트) 채용,대전,대졸↑,신입/경력(10년↑),"인사·채용·인재개발(HRM·HRD), 섬유·화학, 유통·상품기획·MD",08.20,정규직,중견기업,332
(주)에이치알컨설팅그룹,소비재 유통 관련 분야 헤드헌터(HR Consultant) 채용,대전,대졸↑,신입/경력(10년↑),"인사·채용·인재개발(HRM·HRD), 유통·상품기획·MD",08.20,정규직,중소기업,345
스마트푸드네트웍스,[오산물류센터] 야간 배차 담당자 채용,경기,무관,경력 9~16년,운송·물류,08.31,정규직,중소기업,400
(주)플러스휴먼리소스,[대기업] 벌크선 용선영업 경력인재 채용(정규직),대전,대졸,경력 5~16년,"운송·물류, 해외영업",채용시,훈련생,중견기업,213
반석써치(주),[메이저 제약사] 화장품상품기획 팀장,대전,대졸↑,경력 10년↑,"섬유·화학, 유통·상품기획·MD",08.29,인턴,중소기업,272
쿠팡풀필먼트서비스 유한회사,[쿠팡풀필먼트서비스] Dry Ice 센터 SCM 전문가,경기,대졸↑,경력 10년↑,"구매·자재, 운송·물류",채용시,정규직,중소기업,386
프로페셔날핸즈인핸즈코리아(주),퍼스널캐어 BM 정규직 채용,대전,대졸,경력 5~18년,유통·상품기획·MD,08.23,인턴,대기업,255
(주)린인파트너스,"국내TOP5 의류oem사 / 이너웨어,애슬레져브랜드개발 (5년이상 팀장~임원급)",대전,대졸,경력 5~16년,"패션·잡화디자인, 기술영업, 유통·상품기획·MD",,정규직,중소기업,317
