회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
(주)에임즈인터내셔널코리아,[제약.바이오] 품질보증 팀장 (QA),대전,대졸↑,경력 10년↑,"바이오·식품공학, 품질관리, 약무·제약",09.06,단기 임시직,중견기업,276
(주)에이치알그룹,CEO - 신약개발 계열사 R&D 총괄 대표 이사,대전,대졸↑,경력 20년↑,"약무·제약, 임원·경영분석·컨설팅",채용시,단기 임시직,중소기업,258
(주)에임즈인터내셔널코리아,[제약.바이오] 최고운영책임자 (COO),대전,석사↑,경력 15년↑,"약무·제약, 바이오·식품공학, 경영·기획·전략",08.28,정규직,중소기업,348
엘림써치,(국내 완제 의약품 제조 중견기업) 허가등록팀장 (차장-부장급),대전,대졸,경력 10년↑,"약무·제약, 바이오·식품공학, 연구원·연구개발",09.07,정규직,중소기업,498
(주)케이원파트너스컴퍼니,"제약. 바이오 개발부문(RA, Global, BD, PV, MD, MA, License in. out)",경기,대졸↑,경력 1~20년,"약무·제약, 경영·기획·전략, 해외영업",채용시,정규직,중견기업,440
(주)케이원파트너스컴퍼니,"[유망바이오회사] 연구소장(CTO, 신약개발 15년 이상)",대전,박사,경력 10년↑,"약무·제약, 섬유·화학, 바이오·식품공학",채용시,정규직,중견기업,438
(주)케이원파트너스컴퍼니,[국내상위제약사] 의약품 코프로모션 팀장(경력 10년이상),대전,대졸↑,경력 10년↑,"약무·제약, 경영·기획·전략, 해외영업",채용시,정규직,중소기업,441
주식회사 지니어스,[난임상위병원/연봉상향] 수간호사 채용,경기,무관,경력 10년↑,간호·간병,채용시,정규직,중소기업,411
(주)에이치알그룹,BIO 생산 리더급 ( 경력 13년 이상) - BIO 의약품 제조 및 공정관리 업무 등,대전,대졸↑,신입/경력(13년↑),"약무·제약, 품질관리",채용시,정규직,중소기업,388
비전서치,공기업 부속의원 건강평가(전문의),대전,대졸↑,경력 10년↑,의사·수의사,,단기 임시직,중소기업,282
(주)에이치알컨설팅그룹,제약.바이오.화학 관련 업종 헤드헌터(HR Consultant) 채용,대전,대졸↑,신입/경력(10년↑),"인사·채용·인재개발(HRM·HRD), 약무·제약",08.20,정규직,중소기업,467
(주)핀커스코리아,[유명헬스케어상장사] Market Access 경력 채용,대전,대졸↑,경력 8~20년,약무·제약,08.31,정규직,중소기업,347
(주)피플케어코리아,산후조리원 원장 P,대전,대졸,경력 15~20년,간호·간병,08.14,정규직,대기업,461
(주)에임즈인터내셔널코리아,[제약.바이오] 최고기술책임자/최고연구책임자 (CSO),대전,박사↑,경력 10년↑,"약무·제약, 바이오·식품공학, 경영·기획·전략",08.28,정규직,중소기업,381
(주)커리어넷,[밸런스치과병원 ] 진료실 스탭 채용공고 - 판교역,경기,초대졸,경력 1~20년,치료·의료기사,09.27,정규직,대기업,380
(주)피플렙,글로벌 의료기기 제품기획팀장 채용,대전,초대졸,경력 10년↑,"마케팅, 경영·기획·전략, 약무·제약",채용시,정규직,중견기업,487
한국서치 주식회사,국내 유명 상위 제약사 신약개발 팀장,대전,석사,경력 12년↑,약무·제약,채용시,인턴,중소기업,339
(주)프로써치코리아,임상 임원급,대전,석사↑,경력 15년↑,약무·제약,08.22,단기 임시직,중소기업,280
에버브레인컨설팅(주),[미국샌디에고 지사] Medical Sales Director Neurosurgery,경기,대졸↑,경력 11~18년,"광학·의료장비, 약무·제약, 해외영업",채용시,정규직,중견기업,371
에버브레인컨설팅(주),[코스닥상장제조사] 미국 의료영업총괄(매카트로닉/인튜이티브 서지컬),경기,대졸↑,경력 10~18년,"광학·의료장비, 약무·제약, 해외영업",,인턴,중견기업,292
주)커리어넷,[연세세브란스치과의원] 치과위생사 채용공고 - 지행역(동두천),경기,초대졸,경력 1~20년,치료·의료기사,09.05,인턴,중소기업,299
베스트네트워크(주),31. Medical Director (전문의) [AI 의료기기],대전,대졸↑,경력 10년↑,의사·수의사,채용시,인턴,중소기업,323
제이앤파트너즈코리아 (주),[글로벌 제약사] MA Leader (Market Access / 약가 팀장),대전,대졸↑,경력 12~20년,약무·제약,채용시,정규직,중소기업,418
헌터스그룹(주),[강남/대형성형종합병원] 피부과 상담팀장,대전,무관,경력 10년↑,"보건·원무, 영업관리·영업지원",채용시,정규직,중견기업,387
(주)에이치알그룹,"사업개발팀장 - 신규 파트너사 발굴, 기존 파트너사 관리 등",대전,대졸,경력 13년↑,"경영·기획·전략, 약무·제약",채용시,정규직,중소기업,427
헌터스그룹(주),[강남/대형성형종합병원] 치과 총괄 실장,대전,무관,경력 10년↑,보건·원무,,정규직,중소기업,372
