회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
(주)클라인,[쿠팡] IT Specialist 채용,대전,초대졸↑,경력 8~20년,전산·IT기술지원,채용시,정규직,중견기업,317
현대오토에버(주),[SDx] IT Project Manager - MES 시스템 구축 PM 및 PL,대전,무관,경력 10년↑,"전산·IT기술지원, ERP·시스템분석·설계",08.27,인턴,대기업,269
(주)엘지유플러스,[정보보안센터] 정보보안기술담당 경력채용,대전,대졸↑,경력 15년↑,네트워크·서버·보안,08.12,정규직,중소기업,344
(주) 유호스트,[Azure/AWS/NCP/On-premise] 클라우드 서버 어드민 정규직 채용 (금요일 격주 휴무),대전,무관,경력 1~20년,"ERP·시스템분석·설계, 네트워크·서버·보안, 응용프로그래머",08.11,정규직,중소기업,344
(주)휴먼인포텍,OO증권 React 운영 유지보수,대전,대졸,경력 5~20년,웹프로그래머,09.04,정규직,중소기업,312
(주)휴먼인포텍,OO 증권 퇴직연금 개발 웹 구축 자바 중급,대전,무관,경력 8~20년,"웹프로그래머, 데이터베이스·DBA",09.04,훈련생,중소기업,241
그레이스앤파트너스,(제조) 데이터 분석가/(과장~차장급) - 금융그룹 ICT,대전,대졸,경력 10년↑,"데이터베이스·DBA, 빅데이터·AI(인공지능)",10.07,훈련생,대기업,214
그레이스앤파트너스,Oracle DBA/(3~16년 이하) - 금융그룹 ICT,대전,대졸,경력 3~16년,데이터베이스·DBA,10.07,정규직,중소기업,343
한화생명보험(주),글로벌HR 실 글로벌 네트워크 사업 PM 채용(차~부장급),대전,대졸↑,경력 13년↑,"경영·기획·전략, 웹기획·웹마케팅·PM",08.11,훈련생,중소기업,209
동원그룹,[동원에프앤비] 정보보호 책임자 모집,대전,대졸↑,경력 10년↑,"네트워크·서버·보안, 경영·기획·전략",,정규직,중소기업,315
(주)스마일게이트알피지,[LOST ARK Mobile] 밸런스기획 담당 (팀장급),경기,무관,경력 10년↑,게임(Game),08.31,정규직,중소기업,342
(주)엘핀,프론트앤드 개발 전문가 채용(2년 이상 경력 우대),대전,무관,신입/경력(2~17년),"웹프로그래머, 응용프로그래머, 데이터베이스·DBA",09.19,정규직,중견기업,347
파워에이치알,[ 상장기업 ] Firmware 개발 경력자 채용,경기,대졸↑,경력 10년↑,"전자·반도체, 시스템프로그래머, 소프트웨어·하드웨어",08.20,훈련생,중소기업,211
파워에이치알,"[ PI, SAP Consultant 채용(제약산업) ] IT그룹 계열의 컨설팅 기업",대전,대졸,경력 15년↑,"ERP·시스템분석·설계, 임원·경영분석·컨설팅",08.19,인턴,중소기업,259
파워에이치알,[ PLC/전장설계 개발/생산 담당 ] 파트장,경기,대졸↑,경력 10년↑,"전기·전자·통신기능, ERP·시스템분석·설계, 시스템프로그래머",08.11,정규직,중견기업,305
휴머레인컨설팅,긴급) 서구권 e커머스 채널 담당 - 업계 최고 대기업 - 최우대,대전,대졸,경력 10년↑,"마케팅, 광고·광고기획(AE), 웹기획·웹마케팅·PM",09.04,정규직,중소기업,335
콘센트릭스서비스코리아(유),Microsoft M365 보안 엔지니어 정규 채용(신입 / 경력),대전,고졸↑,신입/경력(1~20년),"네트워크·서버·보안, 전산·IT기술지원",채용시,정규직,대기업,314
유디엠텍,팀장급 개발자 경력직 채용(스마트제조 솔루션),경기,대졸↑,경력 10년↑,응용프로그래머,채용시,정규직,중견기업,348
(주)에이앤티코리아,시스템 프로그램 개발 경력 연구원 채용,경기,대졸↑,경력 1~20년,"시스템프로그래머, 전자·반도체, 소프트웨어·하드웨어, 응용프로그래머",08.15,인턴,중견기업,269
(주)크래프톤,[Infra Div.] ITSD Team Lead (10년 이상),대전,무관,경력 10년↑,"전산·IT기술지원, IT·문화·직업강사, 일반사무·사무지원",,정규직,중견기업,302
현대오토에버(주),[IVI] Backend Developer - 자연어 처리 NLP 개발자,대전,무관,경력 10년↑,"웹프로그래머, 빅데이터·AI(인공지능), 일반사무·사무지원",08.27,인턴,중소기업,278
한국마이크로소프트(유),Azure Technical Specialist Manager,대전,무관,경력 10년↑,"전산·IT기술지원, 기술영업, 네트워크·서버·보안",채용시,정규직,중소기업,309
(주)에이치알컨설팅그룹,IT.전산 관련 분야 헤드헌터(HR Consultant) 채용,대전,대졸↑,신입/경력(10년↑),"ERP·시스템분석·설계, 전산·IT기술지원",08.20,정규직,중견기업,344
(주)세스코,PMO Application Architect(AA),대전,대졸↑,경력 10년↑,"웹기획·웹마케팅·PM, 통신·모바일, 데이터베이스·DBA",오늘마감,정규직,중견기업,339
탑커리어인사이트,매출7천억그룹사 반도체장비 SW개발,경기,초대졸,경력 3~16년,응용프로그래머,08.15,정규직,중견기업,301
에이치알포유 주식회사,"[IT AI 인프라 기업, 서울] CTO(임원)",대전,대졸,경력 15년↑,"소프트웨어·하드웨어, 네트워크·서버·보안",08.30,정규직,대기업,318
파워에이치알,용인소재 화장품 제조기업 인사총무 팀장(부장급),경기,대졸↑,경력 15년↑,"인사·채용·인재개발(HRM·HRD), 총무·법무·특허, 전산·IT기술지원",채용시,정규직,중소기업,310
현대오토에버(주),[EnIT] Solution Architect - ERP 서비스 기획/Presales,대전,무관,경력 10년↑,"통신·모바일, ERP·시스템분석·설계, 기술영업",08.27,인턴,중소기업,256
(주)에임즈인터내셔널코리아,IT 보안전문가-국내 반도체 제조 중견기업,대전,대졸↑,경력 10년↑,네트워크·서버·보안,채용시,정규직,대기업,317
(주)엔씨소프트,IT 전략 기획 담당자 모집,경기,대졸↑,경력 10년↑,"경영·기획·전략, 전산·IT기술지원",,인턴,중소기업,279
씨제이올리브네트웍스(주),[경력] 금융IT 사업 팀장,대전,무관,경력 10년↑,"경영·기획·전략, 전산·IT기술지원",08.31,인턴,중소기업,298
(주)수마켓팅커뮤니케이션,디지털마케팅/플랫폼/SNS/사이트/블로그 운영,대전,초대졸↑,신입/경력(3~19년),"마케팅, 웹기획·웹마케팅·PM, 홍보·PR·전시·컨벤션",08.17,정규직,중소기업,328
현대오토에버(주),[EnIT] Business Analyst - 계정관리 시스템 설계,대전,무관,경력 10년↑,"ERP·시스템분석·설계, 네트워크·서버·보안",08.27,정규직,중소기업,309
(주)잡뉴스솔로몬서치,"AI 전략 (기획/PM, 과장-부장급) - 대기업",대전,대졸↑,경력 8~18년,"경영·기획·전략, 빅데이터·AI(인공지능)",채용시,훈련생,중소기업,250
(주)이지메디컴,[이지메디컴] IT연구소 플랫폼개발팀장 채용,대전,초대졸,경력 10년↑,"웹프로그래머, 응용프로그래머, 데이터베이스·DBA",채용시,정규직,중소기업,317
라온서치,대기업계열사/콘텐츠 번역 플랫폼/Tech Group Leader/강남,대전,대졸↑,경력 10~20년,"소프트웨어·하드웨어, ERP·시스템분석·설계, 빅데이터·AI(인공지능)",채용시,훈련생,중소기업,222
(주)크래프톤,[Global Operations Dept.] PMI PMO Lead (10년 이상),대전,무관,경력 10년↑,"웹기획·웹마케팅·PM, ERP·시스템분석·설계",채용시,인턴,중소기업,265
(주)스카우트파트너스,유통.이커머스생활가전소싱MD(영업.3년이상.오픈마켓.종합몰) 대기업,대전,대졸↑,경력 2~16년,"구매·자재, 유통·상품기획·MD, 웹기획·웹마케팅·PM",09.06,인턴,중견기업,282
삼성생명(주) 서초사옥,[25년 하반기] 삼성생명 전략영업본부 수시 (위촉직군),대전,무관,경력 15년↑,"경영·기획·전략, 임원·경영분석·컨설팅, 웹기획·웹마케팅·PM",채용시,정규직,중견기업,349
에스에프인촌 주식회사,IT/전산/게임/소프트웨어(SW) 분야 업무 경력자 - (신입/경력) 헤드헌터 초빙,대전,대졸↑,경력 15년↑,"인사·채용·인재개발(HRM·HRD), 응용프로그래머, 소프트웨어·하드웨어",,정규직,중소기업,336
(주)콘텐츠펙토리상상역,웹 풀스택 리더급 채용,대전,대졸,경력 10년↑,"웹프로그래머, 데이터베이스·DBA, 컨텐츠·사이트운영",08.31,정규직,대기업,337
