회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
(주)스마트솔루션,물류 운영 관리자,울산,고졸,경력 1~3년,"전기·전자·통신기능, 테스트엔지니어, 프로젝트관리(PM)",8.12,프리랜서,스타트업,264
(주)에이스이노베이션,자동화 장비 엔지니어,울산,대졸↑,신입,"설비보전, R&D, 전장설계",9.23,계약직,스타트업,295
(주)코리아솔루션,기계설계 연구원,경북,초대졸↑,경력 5~10년,설비보전,9.13,정규직,대기업,417
(주)스마트파트너스,원가/회계 엔지니어,세종,학력무관,경력 15년↑,"전기·전자·통신기능, AI·머신러닝, 공정개발",채용시,인턴,공공기관,626
(주)베타메디컬,자동화 장비 엔지니어,인천,학력무관,경력 3~5년,"전자·반도체, 보안",채용시,정규직,스타트업,295
(주)더원파트너스,기계설계 연구원,전북,초대졸↑,경력 3~5년,"반도체장비, R&D, AI·머신러닝",8.10,프리랜서,중견기업,328
(주)블루반도체,로봇 셀 티칭 엔지니어,전남,초대졸↑,경력 3~5년,"물류, 네트워크, 데이터분석",8.30,정규직,중소기업,311
(주)코리아이노베이션,자동화 장비 엔지니어,충남,고졸,경력 15년↑,"클라우드, AI·머신러닝",8.19,인턴,중견기업,463
(주)오토디스플레이,물류 운영 관리자,경북,대졸↑,경력 10년↑,"기계설계, ERP·시스템분석·설계",8.12,정규직,대기업,439
(주)브라이트소재,네트워크 엔지니어,인천,대졸,경력 10년↑,"원가, 유지보수, 반도체장비",8.2,정규직,공공기관,592
(주)코리아엔지니어링,전장설계/PLC 엔지니어,충북,대졸,경력 1~3년,"생산관리, 프로젝트관리(PM)",9.3,프리랜서,중견기업,324
(주)스마트네트웍스,보안 엔지니어,제주,대졸↑,경력 3~5년,도장,10.9,프리랜서,대기업,336
(주)알파로보틱스,생산관리 매니저,부산,초대졸↑,경력 5~10년,품질관리,채용시,프리랜서,대기업,341
(주)루키이노베이션,데이터 분석가,대구,고졸,경력 15년↑,"시스템프로그래머, 반도체장비, 유지보수",9.24,계약직,공공기관,593
(주)그린네트웍스,CS/AS 기술 엔지니어,전북,대졸,경력 15년↑,기계설계,채용시,인턴,대기업,550
(주)오토모빌리티,IT기획자,울산,학력무관,무관,"전장설계, 품질관리, 기계설계",채용시,정규직,중소기업,229
(주)다온모빌리티,물류 운영 관리자,강원,고졸,경력 1~3년,"AI·머신러닝, 클라우드, 로봇",9.1,파견직,스타트업,284
(주)스마트테크,클라우드 운영,경북,초대졸↑,경력 10년↑,"원가, 보안",10.26,정규직,대기업,503
(주)알파테크,자동차부품 양산개발,대전,고졸,경력 15년↑,구매,채용시,파견직,중견기업,623
(주)유니텍디지털,데이터 분석가,부산,학력무관,신입,AI·머신러닝,8.31,계약직,스타트업,282
(주)루키산업,CS/AS 기술 엔지니어,경기,고졸,경력 10년↑,공정개발,채용시,파견직,중소기업,508
(주)오토로보틱스,설비보전 담당,대전,초대졸↑,경력 3~5년,로봇,8.8,인턴,대기업,266
(주)시그마로보틱스,R&D 프로젝트 매니저,제주,고졸,신입,"전자·반도체, 보안, 시스템프로그래머",채용시,정규직,중견기업,271
(주)스마트메디컬,자동차부품 양산개발,경기,대졸↑,무관,"테스트엔지니어, 로봇",9.10,인턴,중견기업,305
(주)알파모빌리티,물류 운영 관리자,전남,고졸,경력 5~10년,"물류, AI·머신러닝",8.10,정규직,스타트업,479
(주)시그마테크,반도체 공정 엔지니어,대전,대졸↑,경력 5~10년,AI·머신러닝,채용시,정규직,중견기업,414
(주)글로브반도체,로봇 셀 티칭 엔지니어,충북,대졸↑,신입,"네트워크, 기계수리, 자동차부품",8.14,계약직,중소기업,234
(주)스마트디스플레이,설비보전 담당,세종,초대졸↑,경력 3~5년,"물류, 설비보전, 테스트엔지니어",9.3,프리랜서,스타트업,292
(주)넥스트이노베이션,보안 엔지니어,경북,초대졸↑,신입,물류,10.21,인턴,중견기업,314
(주)더원디스플레이,AI/ML 엔지니어,경북,대졸↑,신입,전자·반도체,10.28,계약직,공공기관,224
(주)베타메디컬,데이터 분석가,대구,대졸,경력 1~3년,자동차부품,8.6,인턴,중견기업,347
(주)블루테크,원가/회계 엔지니어,경북,대졸↑,경력 1~3년,보안,채용시,계약직,스타트업,263
(주)브라이트엔지니어링,유지보수 필드 엔지니어,울산,초대졸↑,경력 1~3년,"전기·전자·통신기능, 공정개발, 보안",채용시,파견직,중견기업,285
(주)더원파트너스,도장 공정 전문가,울산,고졸,신입,"설비보전, 공정개발, 물류",채용시,정규직,중소기업,264
(주)다온랩스,클라우드 운영,충남,학력무관,무관,"시스템프로그래머, 로봇",9.3,정규직,대기업,296
(주)하나파트너스,구매·소싱 매니저,경북,대졸↑,무관,"클라우드, 로봇",채용시,정규직,스타트업,220
(주)다온디스플레이,클라우드 운영,대전,초대졸↑,경력 10년↑,테스트엔지니어,10.19,인턴,대기업,584
(주)글로브에너지,도장 공정 전문가,경북,초대졸↑,경력 10년↑,"자동차부품, 기계수리, ERP·시스템분석·설계",채용시,파견직,중견기업,557
(주)시그마네트웍스,CS/AS 기술 엔지니어,서울,초대졸↑,경력 5~10년,구매,10.17,인턴,스타트업,433
(주)더원산업,R&D 프로젝트 매니저,강원,석사↑,경력 1~3년,"전자·반도체, 자동차부품, 유지보수",10.19,인턴,대기업,364
