회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
모스원 주식회사,업체품질 외주개발 소싱품질-SDE-외국계 자동차부품,경기,대졸,경력 7~17년,"생산관리, 품질관리, 전자·반도체",채용시,정규직,중견기업,286
(주)더라이징스타,도장부문 전문위원 모집,대전,대졸↑,경력 18년↑,생산관리,08.10,인턴,중소기업,216
파워에이치알,[ PLC/전장설계 개발/생산 담당 ] 파트장,경기,대졸↑,경력 10년↑,"전기·전자·통신기능, ERP·시스템분석·설계, 시스템프로그래머",08.11,인턴,중소기업,241
엘림써치,(미국계 화장품 ODM 제조 전문기업) 품질팀장/팀원 (대리-부장급) : 2명,인천,대졸,경력 4~20년,품질관리,09.07,정규직,중소기업,262
헤니앤머코이,Production Manager (생산관리 팀장: 차/부장급) - 외국계 자동차부품사,경기,대졸,경력 10년↑,생산관리,채용시,정규직,중견기업,284
주식회사 한섬,물류기획팀 시설관리 경력채용 (10년 이상),경기,초대졸↑,경력 10년↑,"시설·환경·안전·플랜트, 전기·전자·통신기능, 전기·소방·설비",08.31,정규직,중소기업,251
모스원 주식회사,업체품질 외주개발품질 경력자-외국계-SDE-SQE/SQD,경기,대졸,경력 7~17년,"생산관리, 품질관리, 전자·반도체",채용시,정규직,중견기업,274
마사끼산업코리아(주),(화장품용기) 플라스틱 제조사출 경력자 채용 (차장급),경기,무관,경력 10년↑,생산·조립·가공·포장·검품,08.21,정규직,중견기업,275
파워에이치알,용인소재 화장품 제조기업 생산관리 팀장(부장급),경기,초대졸↑,경력 15~20년,생산관리,채용시,훈련생,중견기업,198
(주)에임즈인터내셔널코리아,[제약.바이오] 품질보증 팀장 (QA),대전,대졸↑,경력 10년↑,"바이오·식품공학, 품질관리, 약무·제약",,인턴,중소기업,225
(주)크래프톤,[Global Operations Dept.] Process Innovation Lead (10년 이상),대전,무관,경력 10년↑,"생산관리, 전자·반도체, 연구원·연구개발",채용시,정규직,중견기업,255
이스타항공,[이스타항공] 2025년 하반기 2차 경력 정비사 상시채용 (탄력근무제 적용),대전,무관,경력 10년↑,설치·수리·정비·A/S,채용시,인턴,대기업,235
지티에스 GTS,MCT / 자동선반 경력모집(연6000이상/기숙사제공),충북,무관,경력 10년↑,"기계·금속·재료, 기계·금속기능, 생산관리",08.17,정규직,중소기업,276
(주)샤니,샤니 성남공장 공무팀 시설파트 채용,경기,고졸↑,경력 20년↓,"설치·수리·정비·A/S , 기계·금속기능, 공무·견적·입찰·자재, 전기·소방·설비",09.29,정규직,중소기업,257
유버(주),"LED 장비운용 경력사원 채용(wire bonding, die attach 유경험자)",경기,초대졸,경력 2~20년,"연구원·연구개발, 전기·전자·통신기능, 전자·반도체",09.01,정규직,중견기업,253
매버릭컨설팅(주),자동차부품 제조업종 품질 팀장(SQM / 선임 부장급),경기,대졸,경력 17년↑,품질관리,채용시,정규직,중소기업,258
글로벌서치,의류 영업 임원 (벤더사 출신),대전,대졸↑,경력 17년↑,"생산관리, 해외영업, 판매",09.05,정규직,중견기업,300
(주)커리어케어,글로벌 포장재 기업 품질팀장,대전,대졸,경력 10년↑,품질관리,09.04,인턴,중견기업,224
(주)써치포리더스,외국계 에너지저장 장치 관련 품질팀장,경기,대졸,경력 10~20년,품질관리,09.03,정규직,중견기업,275
제이앤파트너즈코리아 (주),[의료기기/화장품 제조업] 신규공장 생상팀장 및 팀원,경기,대졸↑,경력 5~20년,생산관리,,정규직,중견기업,257
(주)프로써치코리아,PLC 및 전장설계 팀장(파트장)급,경기,대졸,경력 8~20년,"ERP·시스템분석·설계, 전자·반도체, 전기·전자·통신기능",채용시,정규직,중소기업,277
(주)베스트에치알,[일본계] CS/ 물류설비 유지보수 (책임급),대전,초대졸↑,경력 10년↑,설치·수리·정비·A/S,채용시,훈련생,중견기업,181
(주)에이치알그룹,BIO 생산 리더급 ( 경력 13년 이상) - BIO 의약품 제조 및 공정관리 업무 등,대전,대졸↑,신입/경력(13년↑),"약무·제약, 품질관리",채용시,정규직,중소기업,290
주식회사 고잔점현대자동차,자동차정비 엔지니어 모십니다,인천,무관,신입/경력(1~20년),설치·수리·정비·A/S,채용시,정규직,대기업,252
(주)에이치알그룹,ADC DS생산 팀장 (과장-부장),대전,대졸,경력 10년↑,생산관리,채용시,인턴,중소기업,246
인크루트,사용성 개선을 위한 테스트 공고입니다. 입사지원하지 마세요. 2025.07.29,대전,무관,경력 20년↑,"스포츠, 인바운드 텔레마케터, 환경·화학기능",08.28,인턴,중견기업,243
주식회사 엘피에스테크,[엘피에스테크] 가공팀 공장 총괄 관리자(공장장) 채용,경기,무관,경력 10년↑,생산·조립·가공·포장·검품,채용시,정규직,중소기업,255
(주)솔루션인코퍼레이티드,독일계 대기환경설비 제조 중견기업(서울) Mechanical engineer(차부장) 경력채용,대전,대졸↑,경력 8~20년,"기계·금속·재료, 기계·금속기능",08.28,정규직,중견기업,300
(주)솔루션인코퍼레이티드,독일계 대기환경설비 제조 중견기업(서울) Process engineer(차부장) 경력채용,대전,대졸↑,경력 8~19년,"생산관리, 전자·반도체",08.28,정규직,중소기업,263
반석써치(주),[상장영상의료기]품질기획 팀장,경기,대졸↑,경력 10년↑,품질관리,,정규직,중소기업,300
그레이스앤파트너스,"품질(QA) 팀장/(차,부장급)/(10년 이상~ ) - 의료기기",경기,대졸↑,경력 10년↑,품질관리,09.25,정규직,중소기업,263
(주)잡뉴스솔로몬서치,자동차 도장분야 기술지도위원(경력 20년이상) - 자동차 부품산업 진흥재단,대전,대졸↑,경력 20년↑,기계·금속기능,채용시,훈련생,중소기업,180
(주)유비소시어스,"[의료기기 QA팀장] 의료기기 코스닥상장사, QA 팀장 모집",경기,대졸↑,경력 10년↑,품질관리,08.24,정규직,대기업,296
(주)스카우트,경영관리팀장 (자동차부품 전문기업),경기,대졸↑,경력 15년↑,"경영·기획·전략, 세무·회계, 생산관리",08.23,인턴,중견기업,225
(주)프로써치코리아,생산공정관리 엔지니어 10년이상,경기,대졸,경력 10~20년,생산관리,채용시,정규직,중견기업,291
엠브레이스에이치알 주식회사,[외국계 반도체 자동화] Manufacturing Engineer(생산기술) 팀장,경기,대졸,경력 10년↑,"연구원·연구개발, 전기·전자·통신기능",09.22,정규직,중소기업,276
(주)더라이징스타,연구팀장급 / 외국계 식품제조사,경기,대졸↑,경력 10~17년,"바이오·식품공학, 식품가공·농림어업",08.23,정규직,대기업,280
동부엔지니어링,상하수도 건설사업관리 기술지원 분야 경력사원 모집,대전,무관,경력 13년↑,"토목·조경·도시·측량, 환경·화학기능, 건설현장, 시설·환경·안전·플랜트",채용시,정규직,중견기업,273
(주)글로벌스카우트,[Global 전력반도체] SCM Manager,경기,대졸↑,경력 12년↑,"구매·자재, 생산관리",채용시,인턴,중소기업,244
(주)인터퍼슨,포장재 전문가,대전,무관,경력 18년↑,식품가공·농림어업,,정규직,중소기업,252
탑에이치알파트너즈,EPC 국내영업 임원 채용,대전,대졸↑,경력 19년↑,"기술영업, 환경·화학기능, 시설·환경·안전·플랜트",채용시,인턴,대기업,249
(주)인핸스파트너스,"생산관리, 원가관리 경력 채용",대전,대졸↑,경력 8~18년,생산관리,08.21,정규직,중소기업,258
제이앤파트너즈코리아 (주),[자동자부품 제조 중견기업] 경영관리 팀장 (원가관리/사업기획/실적분석),경기,대졸↑,경력 15~20년,"경영·기획·전략, 생산관리, 세무·회계",08.21,인턴,중소기업,245
(주)더라이징스타,[ SHEQ ] 민자발전 지주사 (서울 종로),대전,대졸↑,경력 10~18년,"환경·화학기능, 시설·환경·안전·플랜트",채용시,인턴,대기업,223
글로벌서치,프레스 금형설계,경기,초대졸↑,경력 2~20년,"기계·금속·재료, 건축·공간·CAD·CAM디자인, 환경·화학기능",08.20,정규직,중견기업,264
매버릭컨설팅(주),프랑스계 자동차부품 제조업종 품질 임원 (이사-상무),경기,대졸,경력 20년↑,품질관리,채용시,인턴,중소기업,218
매버릭컨설팅(주),플랜트 콘트롤러 ( 부장- 임원 ),경기,대졸,경력 16년↑,생산관리,채용시,정규직,중견기업,266
매버릭컨설팅(주),자동차부품 제조업종 품질 매니저 (부장급),경기,대졸,경력 15년↑,품질관리,채용시,정규직,중견기업,289
매버릭컨설팅(주),외국계 자동차부품 업종 품질 임원 ( 이사-상무 ),경기,대졸,경력 20년↑,품질관리,채용시,정규직,중소기업,253
매버릭컨설팅(주),생산 프로덕트 시스템 콘트롤 매니저 (자동차 부품 제조업종 / 차장-부장),경기,대졸,경력 10년↑,생산관리,,정규직,중소기업,258
매버릭컨설팅(주),품질 매니저 (자동차 부품 제조업종 / 차장-부장),경기,대졸,경력 10년↑,품질관리,채용시,정규직,중소기업,259
(주)스카우트파트너스,OLED증착마스크 품질.영업 각 채용(디스플레이.CVD.CMM.MASK),대전,대졸↑,경력 3~17년,"기술영업, 품질관리, 일반·법인영업",채용시,인턴,중소기업,246
피앤제이에이치알주식회사,R&D 연구개발 팀장 인재 채용,경기,대졸↑,경력 10년↑,"기계·금속기능, 시설·환경·안전·플랜트, 연구원·연구개발",채용시,정규직,중견기업,274
에이피써치,[유명그룹계열/이차전지장비]Stack & Notching 프로세스 구축,경기,대졸↑,경력 15년↑,생산관리,채용시,정규직,중견기업,256
주식회사 메타써치,Jeep 인천 공식딜러사 서비스센터 팀장 채용,인천,무관,경력 15년↑,설치·수리·정비·A/S,채용시,정규직,중소기업,288
휴먼인써치,[국내제약사] 위수탁팀장 채용,경기,초대졸↑,경력 8~20년,"운송·물류, 품질관리, 생산관리",채용시,인턴,중소기업,240
휴먼인써치,[국내제약사] 생산팀장 채용,경기,초대졸,경력 10~20년,생산관리,08.14,인턴,중소기업,228
커리어서포트,자동차부품) 제조기술(설비유지보수)팀장급 경력자 채용모집(상장사),경기,대졸↑,경력 10년↑,"설치·수리·정비·A/S , 생산·조립·가공·포장·검품",08.13,정규직,중소기업,279
커리어서포트,자동차부품) 국내 생산팀장 경력자 채용모집(상장사),인천,초대졸↑,경력 10년↑,생산관리,08.13,인턴,중소기업,247
에이피써치,[유명그룹계열/장비제조] CS 경력 10년 이상,경기,대졸↑,경력 10~20년,설치·수리·정비·A/S,,정규직,대기업,262
(주)글로벌스카우트,[미국계 자동차 부품사] 협력업체 개발 담당,경기,대졸↑,경력 7~17년,품질관리,채용시,정규직,중소기업,297
그레이스앤파트너스,코스메틱 생산총괄 (15년 이상),경기,초대졸↑,경력 15년↑,생산관리,08.09,정규직,중견기업,271
(주)스카우트,유망 스킨케어(코스메틱) 제조사 생산운영 본부장,경기,초대졸↑,경력 15년↑,"생산관리, 생산·조립·가공·포장·검품",오늘마감,정규직,중견기업,284
(주)와이앤케이어소시에이트,[헤드헌팅공고] PCB공장(HDI) 공정 엔지니어 채용,경기,초대졸↑,경력 10년↑,"생산관리, 전자·반도체, 연구원·연구개발",오늘마감,훈련생,중소기업,194
(주)스카우트플랜,[정규직/경력직] 생산 공장 관리,경기,초대졸,경력 13~20년,생산관리,오늘마감,정규직,중견기업,285
(주)에이치알그룹,코스닥 상장 제약사 생산 팀장 (경력10년 이상),대전,대졸,경력 7~20년,"생산관리, 생산·조립·가공·포장·검품, 품질관리",오늘마감,훈련생,중소기업,205
앤더슨파인드,수입차 CS 매니저 과차장급,경기,초대졸,경력 10년↑,"고객상담·관리·수퍼바이저, 설치·수리·정비·A/S",09.01,훈련생,중소기업,205
(주)피플스카우트,[식품제조회사]공장관리자(공장장),경기,초대졸↑,경력 10~20년,생산관리,채용시,정규직,중견기업,280
(주)피플스카우트,[식품제조회사]주스 제조업 공장장,경기,대졸↑,경력 10~20년,생산관리,채용시,정규직,중소기업,276
커리어커넥트(주),[국내선두 유산균 전문 BIO기업] 발효공정 개선,경기,석사,경력 10년↑,"생산관리, 품질관리, 바이오·식품공학",,정규직,중소기업,295
반석써치(주),반도체장비관련제조기업에서 품질관리 팀장급 채용,경기,초대졸↑,경력 19년↑,품질관리,채용시,정규직,중소기업,255
코모하이프로,사출금형 사상조립 경력자 구합니다,경기,무관,경력 30년↑,"기계·금속기능, 환경·화학기능",08.23,정규직,중소기업,299
